Quantidade,DiaDaSemana,Turno,TipoFrete,TipoTransporte,OrdemViagem,PercAtraso,Atraso
4,6,3,0,3,1,0,0
6,6,3,0,3,2,0,0
6,5,3,0,3,3,0,0
6,5,3,0,3,1,.3,1
6,5,3,0,3,1,.5,0
6,5,3,0,3,1,0,0
6,5,3,0,3,1,.5,0
6,6,3,0,3,1,.5,0
6,5,3,0,3,4,.4,0
6,5,3,0,3,1,0,0
6,5,3,0,3,1,0,0
6,6,3,0,3,1,0,0
6,6,3,0,3,1,0,0
6,7,3,0,3,1,0,0
6,6,3,0,3,4,.2,0
6,7,3,0,3,1,0,0
6,5,3,0,3,3,.5,1
4,6,3,0,3,2,0,0
6,6,3,0,3,2,0,0
6,6,3,0,3,3,.1,0
6,6,3,0,3,2,0,0
6,6,3,0,3,2,0,0
5,6,3,0,3,3,.4,1
6,7,3,0,3,4,.5,1
4,6,3,0,3,3,0,0
6,7,3,0,3,2,0,0
3,6,3,0,3,2,.1,0
6,6,3,0,3,2,0,0
2,6,3,0,3,1,.3,0
4,6,3,0,3,14,.3,1
4,6,3,0,3,14,.3,1
4,6,3,0,3,18,.3,1
4,6,3,0,3,18,.3,1
4,7,3,0,3,18,.3,0
4,7,3,0,3,17,.2,0
4,7,3,0,3,17,.2,0
4,6,3,0,3,19,.4,0
4,6,3,0,3,19,.4,0
4,6,3,0,3,19,.4,0
4,6,3,0,3,19,.3,0
4,6,3,0,3,19,.3,1
4,6,3,0,3,19,.3,0
4,6,3,0,3,18,.2,0
4,6,3,0,3,17,.2,1
4,6,3,0,3,18,.2,1
4,6,3,0,3,17,.2,1
4,6,3,0,3,16,.2,1
4,6,3,0,3,20,.4,1
4,6,3,0,3,20,.4,1
4,6,3,0,3,20,.4,1
4,7,3,0,3,20,.3,0
4,7,3,0,3,20,.3,0
4,7,3,0,3,20,.3,0
4,7,3,0,3,19,.2,0
4,7,3,0,3,18,.2,0
4,7,3,0,3,19,.2,0
4,7,3,0,3,18,.2,0
4,7,3,0,3,17,.2,0
4,7,3,0,3,15,.3,0
4,7,3,0,3,15,.3,0
4,7,3,0,3,13,.2,0
4,7,3,0,3,14,.3,0
4,7,3,0,3,14,.2,0
4,7,3,0,3,14,.3,0
4,7,3,0,3,13,.3,0
6,6,3,0,3,1,.3,0
6,6,3,0,3,3,0,0
6,6,3,0,3,1,.3,0
6,6,3,0,3,2,.3,1
6,6,3,0,3,3,.2,1
4,6,3,0,3,1,0,0
6,7,3,0,3,1,0,0
6,7,3,0,3,3,.3,0
6,7,3,0,3,3,.2,1
4,6,3,0,3,4,.1,0
6,6,3,0,3,3,0,0
6,7,3,0,3,4,.1,0
6,6,3,0,3,3,.4,1
5,7,3,0,3,1,0,0
4,6,3,0,3,3,.5,0
5,2,3,0,3,1,0,0
6,2,3,0,3,1,0,0
6,7,3,0,3,2,.3,1
6,2,3,0,3,1,0,0
4,7,3,0,3,21,.4,1
4,7,3,0,3,22,.4,1
4,7,3,0,3,21,.4,1
4,7,3,0,3,22,.4,0
4,7,3,0,3,21,.4,1
4,7,3,0,3,21,.3,1
4,7,3,0,3,21,.3,1
4,7,3,0,3,19,.2,0
4,7,3,0,3,19,.2,1
4,7,3,0,3,18,.2,1
4,7,3,0,3,16,.3,1
4,7,3,0,3,16,.3,1
4,7,3,0,3,14,.2,1
4,7,3,0,3,22,.4,1
6,2,3,0,3,2,0,0
6,2,3,0,3,4,.1,0
6,2,3,0,3,1,.1,0
5,7,3,0,3,2,.4,1
6,2,3,0,3,3,.1,0
5,2,3,0,3,3,0,0
4,2,3,0,3,2,0,0
6,3,3,0,3,2,0,0
6,3,3,0,3,4,.1,0
6,3,3,0,3,2,0,0
6,3,3,0,3,3,.1,0
6,3,3,0,3,1,0,0
6,2,3,0,3,2,.5,1
6,2,3,0,3,3,.3,0
6,2,3,0,3,5,.4,0
6,2,3,0,3,3,0,0
4,1,3,0,3,23,.4,0
4,1,3,0,3,23,.4,0
4,1,3,0,3,23,.4,0
4,1,3,0,3,22,.3,0
4,1,3,0,3,22,.3,0
4,1,3,0,3,21,.3,0
4,1,3,0,3,20,.2,0
4,1,3,0,3,20,.2,0
4,1,3,0,3,20,.2,0
4,1,3,0,3,20,.2,0
